susceptible_status,exposed_status,infected_status,recovered_status,ensemble,dead,R₀,active_countermeasures,happiness,ensemble_1
2440,491,2412,52197,1,1018,5.00432119179672,0.0,0.6128092953853288,1
2445,454,2440,52199,1,1020,5.00432119179672,0.0,0.6134847600602518,1
2402,478,2452,52203,1,1023,5.00432119179672,0.0,0.6130075663652055,1
2377,484,2453,52218,1,1026,5.00432119179672,0.0,0.6116473020971391,1
2371,464,2479,52218,1,1026,5.00432119179672,0.0,0.6122554034212762,1
2377,453,2505,52196,1,1027,5.00432119179672,0.0,0.6121460068684226,1
2388,442,2515,52184,1,1029,5.00432119179672,0.0,0.608168470972107,1
2385,443,2509,52192,1,1029,5.00432119179672,0.0,0.608004370662157,1
2384,457,2491,52197,1,1029,5.00432119179672,0.0,0.6068836977518284,1
2381,451,2494,52201,1,1031,5.00432119179672,0.0,0.6087690574508887,1
2380,465,2490,52191,1,1032,5.00432119179672,0.0,0.6100895709139048,1
2395,454,2476,52201,1,1032,5.00432119179672,0.0,0.6089186474591142,1
2384,440,2497,52205,1,1032,5.00432119179672,0.0,0.609868301871191,1
2369,448,2496,52212,1,1033,5.00432119179672,0.0,0.6089909526144469,1
2367,444,2516,52198,1,1033,5.00432119179672,0.0,0.609150665718797,1
2400,440,2516,52168,1,1034,5.00432119179672,0.0,0.6090758238625307,1
2369,439,2525,52186,1,1039,5.00432119179672,0.0,0.6091367087232484,1
2379,445,2555,52137,1,1042,5.00432119179672,0.0,0.6101208470503231,1
2371,448,2546,52151,1,1042,5.00432119179672,0.0,0.6089795604034568,1
2366,455,2515,52180,1,1042,5.00432119179672,0.0,0.609851221818181,1
2306,457,2555,52197,1,1043,5.00432119179672,0.0,0.6095606008281322,1
2311,434,2592,52177,1,1044,5.00432119179672,0.0,0.611554509673762,1
2309,446,2603,52154,1,1046,5.00432119179672,0.0,0.6097073391805722,1
2305,430,2612,52161,1,1050,5.00432119179672,0.0,0.6097534507382096,1
2275,452,2613,52168,1,1050,5.00432119179672,0.0,0.6105220417028521,1
2265,469,2631,52141,1,1052,5.00432119179672,0.0,0.6089000066258722,1
2247,478,2601,52179,1,1053,5.00432119179672,0.0,0.6093063412107549,1
2204,479,2625,52197,1,1053,5.00432119179672,0.0,0.6095796179224011,1
2159,463,2638,52245,1,1053,5.00432119179672,0.0,0.6098806487449866,1
2152,443,2643,52265,1,1055,5.00432119179672,0.0,0.609946288921106,1
2143,445,2634,52279,1,1057,5.00432119179672,0.0,0.6105740401276709,1
2157,435,2638,52271,1,1057,5.00432119179672,0.0,0.6078816073065396,1
2143,424,2636,52298,1,1057,5.00432119179672,0.0,0.6054585254757977,1
2151,449,2569,52328,1,1061,5.00432119179672,0.0,0.6072128650980603,1
2160,452,2527,52355,1,1064,5.00432119179672,0.0,0.607363706439924,1
2179,432,2532,52349,1,1066,5.00432119179672,0.0,0.6093975991169662,1
2190,430,2527,52345,1,1066,5.00432119179672,0.0,0.610227526961205,1
2167,435,2523,52367,1,1066,5.00432119179672,0.0,0.6107067196714352,1
2152,468,2491,52379,1,1068,5.00432119179672,0.0,0.6143245217568171,1
2149,449,2485,52403,1,1072,5.00432119179672,0.0,0.6147185094009627,1
2177,446,2481,52381,1,1073,5.00432119179672,0.0,0.6140835403976028,1
2210,429,2461,52385,1,1073,5.00432119179672,0.0,0.6135292855215388,1
2211,430,2434,52409,1,1074,5.00432119179672,0.0,0.6128183690482467,1
2212,417,2456,52399,1,1074,5.00432119179672,0.0,0.6125389406799073,1
2214,421,2432,52414,1,1077,5.00432119179672,0.0,0.6103307097350588,1
2239,416,2418,52405,1,1080,5.00432119179672,0.0,0.609983430279775,1
2248,435,2413,52379,1,1083,5.00432119179672,0.0,0.6096257436101226,1
2234,426,2425,52388,1,1085,5.00432119179672,0.0,0.6089820830644727,1
2261,423,2405,52383,1,1086,5.00432119179672,0.0,0.6114388241154878,1
